Timepoint,institution,category,value,mean_distance,std_distance,count,unique_respondents
1,TP_Acquaintance,ACES_Compound,10.0,4.0,,1,1
1,TP_Co_worker,ACES_Compound,10.0,2.0,,1,1
1,TP_Company_cust,ACES_Compound,10.0,2.0,,1,1
1,TP_Company_notcust,ACES_Compound,10.0,2.0,,1,1
1,TP_Employer,ACES_Compound,10.0,2.0,,1,1
1,TP_Financial,ACES_Compound,10.0,3.0,,1,1
1,TP_Friend,ACES_Compound,10.0,1.0,,1,1
1,TP_Gov,ACES_Compound,10.0,7.0,,1,1
1,TP_Medical,ACES_Compound,10.0,1.0,,1,1
1,TP_Neighbor,ACES_Compound,10.0,4.0,,1,1
1,TP_NonProf,ACES_Compound,10.0,2.0,,1,1
1,TP_Platform,ACES_Compound,10.0,2.0,,1,1
1,TP_Police,ACES_Compound,10.0,5.0,,1,1
1,TP_Relative,ACES_Compound,10.0,3.0,,1,1
1,TP_Researcher,ACES_Compound,10.0,2.0,,1,1
1,TP_School,ACES_Compound,10.0,2.0,,1,1
1,TP_Stranger,ACES_Compound,10.0,4.0,,1,1
1,TP_Acquaintance,ACES_Compound,12.0,3.0,,1,1
1,TP_Co_worker,ACES_Compound,12.0,3.0,,1,1
1,TP_Company_cust,ACES_Compound,12.0,4.0,,1,1
1,TP_Company_notcust,ACES_Compound,12.0,4.0,,1,1
1,TP_Employer,ACES_Compound,12.0,5.0,,1,1
1,TP_Financial,ACES_Compound,12.0,5.0,,1,1
1,TP_Friend,ACES_Compound,12.0,2.0,,1,1
1,TP_Gov,ACES_Compound,12.0,5.0,,1,1
1,TP_Medical,ACES_Compound,12.0,2.0,,1,1
1,TP_Neighbor,ACES_Compound,12.0,3.0,,1,1
1,TP_NonProf,ACES_Compound,12.0,3.0,,1,1
1,TP_Platform,ACES_Compound,12.0,5.0,,1,1
1,TP_Police,ACES_Compound,12.0,6.0,,1,1
1,TP_Relative,ACES_Compound,12.0,5.0,,1,1
1,TP_Researcher,ACES_Compound,12.0,2.0,,1,1
1,TP_School,ACES_Compound,12.0,3.0,,1,1
1,TP_Stranger,ACES_Compound,12.0,3.0,,1,1
1,TP_Acquaintance,Dem_Relationship_Status_Single,0.0,4.285714285714286,1.6339260343461952,126,126
1,TP_Co_worker,Dem_Relationship_Status_Single,0.0,4.023809523809524,1.5097776562886904,126,126
1,TP_Company_cust,Dem_Relationship_Status_Single,0.0,4.587301587301587,1.571087986179469,126,126
1,TP_Company_notcust,Dem_Relationship_Status_Single,0.0,5.365079365079365,1.4945403285461365,126,126
1,TP_Employer,Dem_Relationship_Status_Single,0.0,3.5952380952380953,1.3575187449376687,126,126
1,TP_Financial,Dem_Relationship_Status_Single,0.0,3.7301587301587302,1.388021316336019,126,126
1,TP_Friend,Dem_Relationship_Status_Single,0.0,2.0555555555555554,1.168284592421251,126,126
1,TP_Gov,Dem_Relationship_Status_Single,0.0,4.5396825396825395,1.5932396864291003,126,126
1,TP_Medical,Dem_Relationship_Status_Single,0.0,2.5476190476190474,1.365911521920174,126,126
1,TP_Neighbor,Dem_Relationship_Status_Single,0.0,4.373015873015873,1.4351815326801103,126,126
1,TP_NonProf,Dem_Relationship_Status_Single,0.0,3.992063492063492,1.3175494328246316,126,126
1,TP_Platform,Dem_Relationship_Status_Single,0.0,4.436507936507937,1.5671427847954722,126,126
1,TP_Police,Dem_Relationship_Status_Single,0.0,4.568,1.6912297491813844,125,125
1,TP_Relative,Dem_Relationship_Status_Single,0.0,2.515873015873016,1.4070344813635631,126,126
1,TP_Researcher,Dem_Relationship_Status_Single,0.0,3.4126984126984126,1.2729169102174187,126,126
1,TP_School,Dem_Relationship_Status_Single,0.0,3.9126984126984126,1.458875409456702,126,126
1,TP_Stranger,Dem_Relationship_Status_Single,0.0,5.873015873015873,1.35637237945412,126,126
1,TP_Acquaintance,Dem_Relationship_Status_Single,1.0,4.3632958801498125,1.5015784922929596,267,267
1,TP_Co_worker,Dem_Relationship_Status_Single,1.0,4.116104868913857,1.506128768950522,267,267
1,TP_Company_cust,Dem_Relationship_Status_Single,1.0,4.785714285714286,1.380163668563103,266,266
1,TP_Company_notcust,Dem_Relationship_Status_Single,1.0,5.496212121212121,1.3424853690973138,264,264
1,TP_Employer,Dem_Relationship_Status_Single,1.0,3.6104868913857677,1.4734372844537684,267,267
1,TP_Financial,Dem_Relationship_Status_Single,1.0,3.857677902621723,1.4491269867347045,267,267
1,TP_Friend,Dem_Relationship_Status_Single,1.0,2.2808988764044944,1.2322919905144034,267,267
1,TP_Gov,Dem_Relationship_Status_Single,1.0,4.6254681647940075,1.604208300838439,267,267
1,TP_Medical,Dem_Relationship_Status_Single,1.0,2.6278195488721803,1.37656139181212,266,266
1,TP_Neighbor,Dem_Relationship_Status_Single,1.0,4.47565543071161,1.4016528378375794,267,267
1,TP_NonProf,Dem_Relationship_Status_Single,1.0,4.138576779026217,1.3790492791033981,267,267
1,TP_Platform,Dem_Relationship_Status_Single,1.0,4.879699248120301,1.519868882055601,266,266
1,TP_Police,Dem_Relationship_Status_Single,1.0,4.773584905660377,1.614816687152022,265,265
1,TP_Relative,Dem_Relationship_Status_Single,1.0,2.655430711610487,1.4146117529323918,267,267
1,TP_Researcher,Dem_Relationship_Status_Single,1.0,3.4794007490636703,1.2986932473938968,267,267
1,TP_School,Dem_Relationship_Status_Single,1.0,3.7715355805243447,1.4314718100270782,267,267
1,TP_Stranger,Dem_Relationship_Status_Single,1.0,5.981203007518797,1.239150675409686,266,266
1,TP_Acquaintance,gender_ord,0.0,4.467924528301887,1.5472083345968903,265,265
1,TP_Co_worker,gender_ord,0.0,4.211320754716981,1.50020962895777,265,265
1,TP_Company_cust,gender_ord,0.0,4.784090909090909,1.3825270049661846,264,264
1,TP_Company_notcust,gender_ord,0.0,5.509505703422053,1.2866404501134379,263,263
1,TP_Employer,gender_ord,0.0,3.637735849056604,1.4265112155681758,265,265
1,TP_Financial,gender_ord,0.0,3.822641509433962,1.3605148186459741,265,265
1,TP_Friend,gender_ord,0.0,2.2528301886792454,1.2583966129360125,265,265
1,TP_Gov,gender_ord,0.0,4.513207547169811,1.5277778644073645,265,265
1,TP_Medical,gender_ord,0.0,2.6754716981132076,1.3845612011897157,265,265
1,TP_Neighbor,gender_ord,0.0,4.505660377358491,1.382029564645014,265,265
1,TP_NonProf,gender_ord,0.0,4.1358490566037736,1.335853821222682,265,265
1,TP_Platform,gender_ord,0.0,4.769811320754717,1.4986843858890764,265,265
1,TP_Police,gender_ord,0.0,4.669201520912548,1.531128073281779,263,263
1,TP_Relative,gender_ord,0.0,2.607547169811321,1.383321794850168,265,265
1,TP_Researcher,gender_ord,0.0,3.569811320754717,1.2923998269692487,265,265
1,TP_School,gender_ord,0.0,3.830188679245283,1.3862945084884721,265,265
1,TP_Stranger,gender_ord,0.0,6.0227272727272725,1.2081214974966077,264,264
