Timepoint,institution,distance,category,value
1,TP_Platform,5.193181818181818,multi_platform_ord,1.0
1,TP_Police,4.704545454545454,multi_platform_ord,1.0
1,TP_Relative,2.6363636363636362,multi_platform_ord,1.0
1,TP_Researcher,3.5568181818181817,multi_platform_ord,1.0
1,TP_School,3.6931818181818183,multi_platform_ord,1.0
1,TP_Stranger,6.011363636363637,multi_platform_ord,1.0
1,TP_Acquaintance,4.396103896103896,multi_platform_ord,2.0
1,TP_Co_worker,4.175324675324675,multi_platform_ord,2.0
1,TP_Company_cust,4.824675324675325,multi_platform_ord,2.0
1,TP_Company_notcust,5.4640522875816995,multi_platform_ord,2.0
1,TP_Employer,3.6948051948051948,multi_platform_ord,2.0
1,TP_Financial,3.987012987012987,multi_platform_ord,2.0
1,TP_Friend,2.1818181818181817,multi_platform_ord,2.0
1,TP_Gov,4.759740259740259,multi_platform_ord,2.0
1,TP_Medical,2.7662337662337664,multi_platform_ord,2.0
1,TP_Neighbor,4.538961038961039,multi_platform_ord,2.0
1,TP_NonProf,4.201298701298701,multi_platform_ord,2.0
1,TP_Platform,4.810457516339869,multi_platform_ord,2.0
1,TP_Police,4.881578947368421,multi_platform_ord,2.0
1,TP_Relative,2.6623376623376624,multi_platform_ord,2.0
1,TP_Researcher,3.5779220779220777,multi_platform_ord,2.0
1,TP_School,3.896103896103896,multi_platform_ord,2.0
1,TP_Stranger,6.045454545454546,multi_platform_ord,2.0
1,TP_Acquaintance,4.064814814814815,multi_platform_ord,3.0
1,TP_Co_worker,3.861111111111111,multi_platform_ord,3.0
1,TP_Company_cust,4.4485981308411215,multi_platform_ord,3.0
1,TP_Company_notcust,5.271028037383178,multi_platform_ord,3.0
1,TP_Employer,3.574074074074074,multi_platform_ord,3.0
1,TP_Financial,3.6203703703703702,multi_platform_ord,3.0
1,TP_Friend,2.1018518518518516,multi_platform_ord,3.0
1,TP_Gov,4.398148148148148,multi_platform_ord,3.0
1,TP_Medical,2.560747663551402,multi_platform_ord,3.0
1,TP_Neighbor,4.296296296296297,multi_platform_ord,3.0
1,TP_NonProf,3.8518518518518516,multi_platform_ord,3.0
1,TP_Platform,4.407407407407407,multi_platform_ord,3.0
1,TP_Police,4.4953271028037385,multi_platform_ord,3.0
1,TP_Relative,2.564814814814815,multi_platform_ord,3.0
1,TP_Researcher,3.2314814814814814,multi_platform_ord,3.0
1,TP_School,3.759259259259259,multi_platform_ord,3.0
1,TP_Stranger,5.822429906542056,multi_platform_ord,3.0
1,TP_Acquaintance,4.586206896551724,multi_platform_ord,4.0
1,TP_Co_worker,4.0344827586206895,multi_platform_ord,4.0
1,TP_Company_cust,4.689655172413793,multi_platform_ord,4.0
1,TP_Company_notcust,5.241379310344827,multi_platform_ord,4.0
1,TP_Employer,3.4482758620689653,multi_platform_ord,4.0
1,TP_Financial,3.4827586206896552,multi_platform_ord,4.0
1,TP_Friend,2.2413793103448274,multi_platform_ord,4.0
1,TP_Gov,4.137931034482759,multi_platform_ord,4.0
1,TP_Medical,2.586206896551724,multi_platform_ord,4.0
1,TP_Neighbor,4.724137931034483,multi_platform_ord,4.0
1,TP_NonProf,4.0344827586206895,multi_platform_ord,4.0
1,TP_Platform,4.344827586206897,multi_platform_ord,4.0
1,TP_Police,4.413793103448276,multi_platform_ord,4.0
1,TP_Relative,2.4827586206896552,multi_platform_ord,4.0
1,TP_Researcher,3.586206896551724,multi_platform_ord,4.0
1,TP_School,4.103448275862069,multi_platform_ord,4.0
1,TP_Stranger,5.896551724137931,multi_platform_ord,4.0
1,TP_Acquaintance,3.0,multi_platform_ord,5.0
1,TP_Co_worker,3.0,multi_platform_ord,5.0
1,TP_Company_cust,4.4,multi_platform_ord,5.0
1,TP_Company_notcust,4.8,multi_platform_ord,5.0
1,TP_Employer,3.2,multi_platform_ord,5.0
1,TP_Financial,3.2,multi_platform_ord,5.0
1,TP_Friend,1.4,multi_platform_ord,5.0
1,TP_Gov,4.4,multi_platform_ord,5.0
1,TP_Medical,2.2,multi_platform_ord,5.0
1,TP_Neighbor,3.6,multi_platform_ord,5.0
1,TP_NonProf,2.8,multi_platform_ord,5.0
1,TP_Platform,3.4,multi_platform_ord,5.0
1,TP_Police,4.6,multi_platform_ord,5.0
1,TP_Relative,2.0,multi_platform_ord,5.0
1,TP_Researcher,3.2,multi_platform_ord,5.0
1,TP_School,3.4,multi_platform_ord,5.0
1,TP_Stranger,5.0,multi_platform_ord,5.0
1,TP_Acquaintance,4.120218579234972,orientation_ord,0.0
1,TP_Co_worker,3.8743169398907105,orientation_ord,0.0
1,TP_Company_cust,4.467032967032967,orientation_ord,0.0
1,TP_Company_notcust,5.302197802197802,orientation_ord,0.0
1,TP_Employer,3.3224043715846996,orientation_ord,0.0
1,TP_Financial,3.5081967213114753,orientation_ord,0.0
1,TP_Friend,2.0327868852459017,orientation_ord,0.0
1,TP_Gov,4.355191256830601,orientation_ord,0.0
1,TP_Medical,2.3169398907103824,orientation_ord,0.0
1,TP_Neighbor,4.163934426229508,orientation_ord,0.0
1,TP_NonProf,3.901639344262295,orientation_ord,0.0
1,TP_Platform,4.5683060109289615,orientation_ord,0.0
1,TP_Police,4.209944751381215,orientation_ord,0.0
1,TP_Relative,2.191256830601093,orientation_ord,0.0
1,TP_Researcher,3.300546448087432,orientation_ord,0.0
1,TP_School,3.551912568306011,orientation_ord,0.0
1,TP_Stranger,5.824175824175824,orientation_ord,0.0
1,TP_Acquaintance,4.53,orientation_ord,1.0
1,TP_Co_worker,4.16,orientation_ord,1.0
1,TP_Company_cust,4.88,orientation_ord,1.0
1,TP_Company_notcust,5.540816326530612,orientation_ord,1.0
1,TP_Employer,3.95,orientation_ord,1.0
1,TP_Financial,4.04,orientation_ord,1.0
1,TP_Friend,2.29,orientation_ord,1.0
1,TP_Gov,4.75,orientation_ord,1.0
1,TP_Medical,2.95,orientation_ord,1.0
1,TP_Neighbor,4.64,orientation_ord,1.0
1,TP_NonProf,4.22,orientation_ord,1.0
1,TP_Platform,4.8,orientation_ord,1.0
1,TP_Police,5.12,orientation_ord,1.0
1,TP_Relative,3.03,orientation_ord,1.0
1,TP_Researcher,3.62,orientation_ord,1.0
1,TP_School,4.08,orientation_ord,1.0
1,TP_Stranger,6.04,orientation_ord,1.0
1,TP_Acquaintance,4.525,orientation_ord,2.0
1,TP_Co_worker,4.4,orientation_ord,2.0
1,TP_Company_cust,4.9,orientation_ord,2.0
1,TP_Company_notcust,5.55,orientation_ord,2.0
1,TP_Employer,3.775,orientation_ord,2.0
1,TP_Financial,3.925,orientation_ord,2.0
1,TP_Friend,2.5,orientation_ord,2.0
1,TP_Gov,4.825,orientation_ord,2.0
1,TP_Medical,2.55,orientation_ord,2.0
1,TP_Neighbor,4.725,orientation_ord,2.0
1,TP_NonProf,4.2,orientation_ord,2.0
1,TP_Platform,4.875,orientation_ord,2.0
1,TP_Police,5.17948717948718,orientation_ord,2.0
1,TP_Relative,2.925,orientation_ord,2.0
1,TP_Researcher,3.6,orientation_ord,2.0
1,TP_School,3.9,orientation_ord,2.0
1,TP_Stranger,6.3,orientation_ord,2.0
1,TP_Acquaintance,4.5285714285714285,orientation_ord,3.0
1,TP_Co_worker,4.357142857142857,orientation_ord,3.0
1,TP_Company_cust,5.057142857142857,orientation_ord,3.0
1,TP_Company_notcust,5.671428571428572,orientation_ord,3.0
1,TP_Employer,3.757142857142857,orientation_ord,3.0
1,TP_Financial,4.242857142857143,orientation_ord,3.0
1,TP_Friend,2.3857142857142857,orientation_ord,3.0
1,TP_Gov,4.885714285714286,orientation_ord,3.0
1,TP_Medical,2.8840579710144927,orientation_ord,3.0
1,TP_Neighbor,4.728571428571429,orientation_ord,3.0
1,TP_NonProf,4.3428571428571425,orientation_ord,3.0
1,TP_Platform,5.0144927536231885,orientation_ord,3.0
1,TP_Police,5.142857142857143,orientation_ord,3.0
1,TP_Relative,2.9285714285714284,orientation_ord,3.0
1,TP_Researcher,3.557142857142857,orientation_ord,3.0
1,TP_School,4.085714285714285,orientation_ord,3.0
1,TP_Stranger,5.928571428571429,orientation_ord,3.0
1,TP_Acquaintance,4.338422391857506,overall_average,1.0
1,TP_Co_worker,4.086513994910941,overall_average,1.0
1,TP_Company_cust,4.721938775510204,overall_average,1.0
1,TP_Company_notcust,5.453846153846154,overall_average,1.0
1,TP_Employer,3.6055979643765905,overall_average,1.0
1,TP_Financial,3.816793893129771,overall_average,1.0
1,TP_Friend,2.208651399491094,overall_average,1.0
1,TP_Gov,4.597964376590331,overall_average,1.0
1,TP_Medical,2.6020408163265305,overall_average,1.0
1,TP_Neighbor,4.442748091603053,overall_average,1.0
1,TP_NonProf,4.091603053435114,overall_average,1.0
1,TP_Platform,4.737244897959184,overall_average,1.0
1,TP_Police,4.707692307692308,overall_average,1.0
1,TP_Relative,2.6106870229007635,overall_average,1.0
1,TP_Researcher,3.4580152671755724,overall_average,1.0
1,TP_School,3.816793893129771,overall_average,1.0
1,TP_Stranger,5.946428571428571,overall_average,1.0
1,TP_Acquaintance,4.347266881028939,race_ord,0.0
1,TP_Co_worker,4.093247588424437,race_ord,0.0
1,TP_Company_cust,4.690322580645161,race_ord,0.0
1,TP_Company_notcust,5.475728155339806,race_ord,0.0
